Price,Promotional_Price,Url
,"349,-",https://www.coolblue.nl/en/product/826327/lenovo-ideapad-d330-10igm-81h30015mh.html
,"1.249,-",https://www.coolblue.nl/en/product/816182/acer-swift-5-pro-sf514-52tp-85t2.html
,"999,-",https://www.coolblue.nl/en/product/825151/asus-zenbook-ux333fa-a3084t.html
,"2.699,-",https://www.coolblue.nl/en/product/812796/msi-gs65-stealth-thin-8rf-038nl.html
,"1.799,-",https://www.coolblue.nl/en/product/810032/hp-elitebook-850-g5-i7-8gb-256ssd.html
,"2.049,-",https://www.coolblue.nl/en/product/824763/msi-ge63-8se-005nl.html
,"1.849,-",https://www.coolblue.nl/en/product/824741/msi-gl63-8se-058nl.html
,"3.499,-",https://www.coolblue.nl/en/product/824545/lenovo-thinkpad-p1-20md0010mh.html
,"2.899,-",https://www.coolblue.nl/en/product/805027/apple-macbook-pro-13-2017-16gb-1tb-2-5ghz-space-gray.html
,"4.669,-",https://www.coolblue.nl/en/product/805043/apple-macbook-pro-15-touch-bar-2017-16gb-2tb-3-1ghz-space-gray.html
,"1.949,-",https://www.coolblue.nl/en/product/811222/msi-gs73-stealth-8re-014nl.html
,"2.499,-",https://www.coolblue.nl/en/product/815162/hp-omen-x-17-ap000nd.html
,"1.299,-",https://www.coolblue.nl/en/product/815719/dell-latitude-5590-xgk4j.html
,"1.849,-",https://www.coolblue.nl/en/product/810030/hp-elitebook-840-g5-i7-16gb-512ssd.html
"899,-","829,-",https://www.coolblue.nl/en/product/809498/toshiba-satellite-pro-a50-e-11q-i5-8gb-256ssd.html
"299,-","254,15",https://www.coolblue.nl/en/product/818005/hp-chromebook-14-ca030nd.html
,"399,-",https://www.coolblue.nl/en/product/816800/medion-akoya-e3221ts-c128q4.html
,"7.139,-",https://www.coolblue.nl/en/product/816452/apple-macbook-pro-15-inch-touch-bar-2018-16gb-4tb-2-6ghz-space-gray.html
,"4.739,-",https://www.coolblue.nl/en/product/816450/apple-macbook-pro-15-inch-touch-bar-2018-16gb-2tb-2-6ghz-space-gray.html
,"7.359,-",https://www.coolblue.nl/en/product/816447/apple-macbook-pro-15-inch-touch-bar-2018-32gb-4tb-2-2ghz-space-gray.html
,"3.039,-",https://www.coolblue.nl/en/product/816448/apple-macbook-pro-15-inch-touch-bar-2018-16-512gb-2-2ghz-space-gray.html
,"3.999,-",https://www.coolblue.nl/en/product/816445/apple-macbook-pro-15-inch-touch-bar-2018-32gb-1tb-2-2ghz-space-gray.html
,"6.879,-",https://www.coolblue.nl/en/product/816442/apple-macbook-pro-15-inch-touch-bar-2018-16gb-4tb-2-2ghz-space-gray.html
,"3.989,-",https://www.coolblue.nl/en/product/816435/apple-macbook-pro-13-inch-touch-bar-2018-16gb-2tb-2-3ghz-space-gray.html
,"4.349,-",https://www.coolblue.nl/en/product/816439/apple-macbook-pro-13-inch-touch-bar-2018-16gb-2tb-2-7ghz-space-gray.html
,"3.749,-",https://www.coolblue.nl/en/product/816429/apple-macbook-pro-13-inch-touch-bar-2018-8gb-2tb-2-3ghz-space-gray.html
,"2.749,-",https://www.coolblue.nl/en/product/816428/apple-macbook-pro-13-inch-touch-bar-2018-8gb-1tb-2-3ghz-space-gray.html
,"1.699,-",https://www.coolblue.nl/en/product/816091/acer-swift-7-sf714-51t-m9nf.html
"2.349,-","1.949,-",https://www.coolblue.nl/en/product/817806/msi-gs73-8rf-018nl.html
